code name  b00...........................b27  PAR
$00  PA   #.#....#.#...#..#.....#....#  1
$01  E    ####..##.#..##.#...#.##.....  0
$02  E1   ####..##.#...#.##.#..#...#..  1
$03  Y    ####..##.#...#.#..##....#..#  1
$04  YI   ####...#.#..#..#..##..#..#..  0
$05  AY   ####..##.#..##.#...#.##.....  1
$06  IE   ####..##.#...#.#...#.#..##.#  1
$07  I    ####..##.#...#..#....#......  1
$08  A    ####..##.#......#..#.##..#.#  0
$09  AI   ####..##.#......#..#..#....#  0
$0A  EH   ####..##.##........#.....#..  1
$0B  EH1  ####..##.##........#..#..#.#  0
$0C  AE   ####...#.##.#...#.##.....#.#  1
$0D  AE1  ####...#..#.#..##.##.##..#.#  1
$0E  AH   ####...#..#.#...#.##.##..#.#  1
$0F  AH1  ####...#..#.#..##.##..#.##..  1
$10  AW   ####...#..#.#...#.##.#......  1
$11  O    ####..##........#..#..#..#.#  1
$12  OU   ####..##........#..#....##.#  1
$13  OO   ####..##..#........#.#......  0
$14  IU   ####..##.......#..##.##.....  1
$15  IU1  ####..##.......##..#....#...  0
$16  U    ####..##..........#...#....#  1
$17  U1   ####..#......#....##.....#..  1
$18  UH   ####..##..#....#..##.....#..  0
$19  UH1  ####..##..#........#.##..#.#  0
$1A  UH2  ####...#..#.#...#.##.#...#.#  0
$1B  UH3  ####...#..#.#..##.##....##.#  0
$1C  ER   ####..#........##..#..#..#..  0
$1D  R    ####..#...............#..#.#  1
$1E  R1   ####..#......#.......##....#  0
$1F  R2   ####...#....#..##.#..##..#..  1
$20  L    ####...#....##....##.##.#..#  1
$21  L1   ####..##.....#.#...#.....#.#  1
$22  LF   ####..##.....#..#..#....#..#  1
$23  W    ####..##..............#..#..  1
$24  B    .###..##.....#.......#.....#  1
$25  D    .###..##.#...#.....#.......#  1
$26  KV   ####..##.#........#..##.....  1
$27  P    .##.##.#...#....##...#.#....  0
$28  T    .#..##.#.#.#.#..##.#...#...#  0
$29  K    .##.#..#.#.#.........##.....  1
$2A  HV   #.##...#.#..##..#.#...#....#  1
$2B  HVC  ..##..##.#..##..#.#...#.#..#  1
$2C  HF   #.#.##.#.#...#..#.....#....#  1
$2D  HFC  ..#.##.#.#...#..#.....#....#  1
$2E  HN   #.##...#.#..##..#...#.#...##  1
$2F  Z    ##...#.#.....#...#...##.##..  1
$30  S    ##..##.#...#.#.#.#...#.#...#  0
$31  J    ###..#.#.#...#...#.#.##.#..#  0
$32  SCH  ###.#..#.#.#.#...#.#.##....#  0
$33  V    ###....#...#......#..##.##.#  0
$34  F    ###.#..#...#.........##..#.#  0
$35  THV  ##.....#.....#.#.#.#.##.#..#  1
$36  TH   ##..#..#.#......##.#........  1
$37  M    ####..##..........#.##...###  0
$38  N    ####..##.#...#......#....##.  0
$39  NG   ####...#.#..##.#...##.#...#.  0
$3A  :A   ####..##.#......#..#..#....#  1
$3B  :OH  ####...#.#..#.....#...#..#..  0
$3C  :U   ####..##.......#..#..#...#.#  1
$3D  :UH  ####..##.#........##.......#  0
$3E  E2   ####...#....#..##.##.##.#..#  0
$3F  LB   ####..##.....#.....#.......#  1
