code,name,closure_b00,class_b01,class_b02,notfric_b03,notvoiced_b04,FA,VA,F3,NASAL,F2,F1
0x00,PA,1,0,1,0,0,0,0,12,0,9,7
0x01,E,1,1,1,1,0,0,12,14,0,14,2
0x02,E1,1,1,1,1,0,0,10,13,0,14,5
0x03,Y,1,1,1,1,0,0,11,14,0,13,1
0x04,YI,1,1,1,1,0,0,6,11,0,12,2
0x05,AY,1,1,1,1,0,0,12,14,0,14,3
0x06,IE,1,1,1,1,0,0,9,15,0,15,1
0x07,I,1,1,1,1,0,0,8,12,0,10,5
0x08,A,1,1,1,1,0,0,8,11,0,11,6
0x09,AI,1,1,1,1,0,0,8,10,0,9,6
0x0A,EH,1,1,1,1,0,0,8,11,0,8,9
0x0B,EH1,1,1,1,1,0,0,8,11,0,9,10
0x0C,AE,1,1,1,1,0,0,6,11,0,9,13
0x0D,AE1,1,1,1,1,0,0,6,11,0,7,15
0x0E,AH,1,1,1,1,0,0,6,11,0,3,15
0x0F,AH1,1,1,1,1,0,0,7,11,0,4,15
0x10,AW,1,1,1,1,0,0,6,10,0,2,13
0x11,O,1,1,1,1,0,0,8,11,0,1,7
0x12,OU,1,1,1,1,0,0,9,11,0,1,5
0x13,OO,1,1,1,1,0,0,8,10,0,2,8
0x14,IU,1,1,1,1,0,0,10,10,0,6,3
0x15,IU1,1,1,1,1,0,0,9,10,0,4,4
0x16,U,1,1,1,1,0,0,10,8,0,1,3
0x17,U1,1,1,1,1,0,0,10,7,0,0,1
0x18,UH,1,1,1,1,0,0,10,11,0,4,8
0x19,UH1,1,1,1,1,0,0,8,11,0,3,10
0x1A,UH2,1,1,1,1,0,0,6,11,0,3,12
0x1B,UH3,1,1,1,1,0,0,7,11,0,5,12
0x1C,ER,1,1,1,1,0,0,8,3,0,4,6
0x1D,R,1,1,1,1,0,0,8,1,0,1,3
0x1E,R1,1,1,1,1,0,0,8,4,0,3,2
0x1F,R2,1,1,1,1,0,0,6,9,0,6,7
0x20,L,1,1,1,1,0,0,7,14,0,3,3
0x21,L1,1,1,1,1,0,0,8,15,0,5,1
0x22,LF,1,1,1,1,0,0,9,14,0,1,5
0x23,W,1,1,1,1,0,0,8,9,0,0,3
0x24,B,0,1,1,1,0,0,8,12,0,3,1
0x25,D,0,1,1,1,0,0,8,14,0,9,1
0x26,KV,1,1,1,1,0,0,10,8,0,10,3
0x27,P,0,1,1,0,1,15,0,8,0,2,4
0x28,T,0,1,0,0,1,15,0,14,0,9,4
0x29,K,0,1,1,0,1,4,0,8,0,10,3
0x2A,HV,1,0,1,1,0,0,6,12,0,9,7
0x2B,HVC,0,0,1,1,0,0,15,12,0,9,7
0x2C,HF,1,0,1,0,1,8,0,12,0,9,7
0x2D,HFC,0,0,1,0,1,8,0,12,0,9,7
0x2E,HN,1,0,1,1,0,0,4,12,3,9,7
0x2F,Z,1,1,0,0,0,10,1,13,0,2,3
0x30,S,1,1,0,0,1,15,0,12,0,7,0
0x31,J,1,1,1,0,0,10,1,14,0,11,2
0x32,SCH,1,1,1,0,1,6,0,14,0,11,2
0x33,V,1,1,1,0,0,4,3,9,0,3,2
0x34,F,1,1,1,0,1,4,0,9,0,3,2
0x35,THV,1,1,0,0,0,2,1,14,0,7,3
0x36,TH,1,1,0,0,1,2,0,10,0,8,5
0x37,M,1,1,1,1,0,0,10,9,3,3,0
0x38,N,1,1,1,1,0,0,8,13,3,8,0
0x39,NG,1,1,1,1,0,0,4,14,3,12,2
0x3A,:A,1,1,1,1,0,0,8,10,0,9,7
0x3B,:OH,1,1,1,1,0,0,6,9,0,8,2
0x3C,:U,1,1,1,1,0,0,10,9,0,7,1
0x3D,:UH,1,1,1,1,0,0,10,10,0,9,0
0x3E,E2,1,1,1,1,0,0,7,10,0,7,6
0x3F,LB,1,1,1,1,0,0,8,14,0,1,1
